Subject,Condition,Gender,Type,Birth,Time.100,Target,Distractor,Other,Saccade,Track_Loss,Bins
15,1,Feminine,Control,Latin,50,364,233,174,161,68,1000
15,1,Feminine,Control,Latin,150,336,267,207,177,13,1000
15,1,Feminine,Control,Latin,250,507,70,228,101,94,1000
15,1,Feminine,Control,Latin,350,597,182,84,137,0,1000
15,1,Feminine,Control,Latin,450,615,286,24,75,0,1000
15,1,Feminine,Control,Latin,550,657,263,0,80,0,1000
15,1,Feminine,Control,Latin,650,719,29,46,173,33,1000
15,1,Feminine,Control,Latin,750,802,0,100,42,56,1000
15,2,Feminine,Match,Latin,50,295,269,280,156,0,1000
15,2,Feminine,Match,Latin,150,400,283,281,36,0,1000
15,2,Feminine,Match,Latin,250,344,263,325,68,0,1000
15,2,Feminine,Match,Latin,350,311,199,446,44,0,1000
15,2,Feminine,Match,Latin,450,283,81,445,191,0,1000
15,2,Feminine,Match,Latin,550,372,34,438,156,0,1000
15,2,Feminine,Match,Latin,650,562,0,321,117,0,1000
15,2,Feminine,Match,Latin,750,636,0,259,105,0,1000
15,4,Masculine,Control,Latin,50,232,333,175,197,63,1000
15,4,Masculine,Control,Latin,150,400,358,205,37,0,1000
15,4,Masculine,Control,Latin,250,376,299,126,199,0,1000
15,4,Masculine,Control,Latin,350,286,347,246,121,0,1000
15,4,Masculine,Control,Latin,450,300,250,400,50,0,1000
15,4,Masculine,Control,Latin,550,339,71,433,157,0,1000
15,4,Masculine,Control,Latin,650,547,91,280,82,0,1000
15,4,Masculine,Control,Latin,750,729,100,76,95,0,1000
15,5,Masculine,Match,Latin,50,223,617,0,147,13,1000
15,5,Masculine,Match,Latin,150,332,548,0,120,0,1000
15,5,Masculine,Match,Latin,250,535,352,0,113,0,1000
15,5,Masculine,Match,Latin,350,600,338,11,51,0,1000
15,5,Masculine,Match,Latin,450,533,217,157,93,0,1000
15,5,Masculine,Match,Latin,550,435,207,253,105,0,1000
15,5,Masculine,Match,Latin,650,547,174,180,99,0,1000
15,5,Masculine,Match,Latin,750,619,175,105,101,0,1000
15,7,Feminine,Filler,Latin,50,808,1313,486,349,44,3000
15,7,Feminine,Filler,Latin,150,682,1301,729,288,0,3000
15,7,Feminine,Filler,Latin,250,921,973,741,365,0,3000
15,7,Feminine,Filler,Latin,350,1113,918,719,250,0,3000
15,7,Feminine,Filler,Latin,450,1317,929,489,265,0,3000
15,7,Feminine,Filler,Latin,550,1449,819,377,314,41,3000
15,7,Feminine,Filler,Latin,650,2061,332,125,462,20,3000
15,7,Feminine,Filler,Latin,750,2492,300,101,107,0,3000
15,8,Masculine,Filler,Latin,50,853,1243,540,312,52,3000
15,8,Masculine,Filler,Latin,150,877,1149,565,368,41,3000
15,8,Masculine,Filler,Latin,250,957,862,929,252,0,3000
