"ExperimentName","Subject","Session","Clock.Information","DataFile.Basename","Display.RefreshRate","ExperimentVersion","Group","RandomSeed","RuntimeCapabilities","RuntimeVersion","RuntimeVersionExpected","SessionDate","SessionStartDateTimeUtc","SessionTime","StudioVersion","Block","Congruency","Distractor","DistractorGender","DistractorTransparency","Expirement","Expirement.Cycle","Expirement.Sample","Practice","Practice.Cycle","Practice.Sample","Procedure","Running","Target","Target.OnsetDelay","Target.OnsetTime","Target.OnsetToOnsetTime","Target.RT","Target.RTTime","TargetGender","Keep"
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",1,"","servilleta","","",NA,NA,NA,1,1,1,"Proc","Practice","ave",1,16895,0,701,17596,"",0
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",2,"","escritorio","","",NA,NA,NA,2,1,2,"Proc","Practice","pez",1,20632,0,700,21332,"",0
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",3,"","tigre","","",NA,NA,NA,3,1,3,"Proc","Practice","ventana",1,24352,0,837,25189,"",0
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",4,"","luz","","",NA,NA,NA,4,1,4,"Proc","Practice","araña",1,28206,0,2388,30594,"",0
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",5,"","abeja","","",NA,NA,NA,5,1,5,"Proc","Practice","telescopio",1,33628,0,5712,39340,"",0
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",6,"","sonrisa","","",NA,NA,NA,6,1,6,"Proc","Practice","murciélago",1,42369,0,838,43207,"",0
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",7,"c","frasco","m","t",1,1,1,NA,NA,NA,"Proc","Expirement","regalo",1,63189,0,715,63904,"m",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",8,"i","anillo","m","t",2,1,2,NA,NA,NA,"Proc","Expirement","madera",1,66926,0,810,67736,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",9,"c","llave","f","o",3,1,3,NA,NA,NA,"Proc","Expirement","fresa",1,70763,0,769,71532,"f",1
"PictureNamingScript2","2",1,"<?xml version=""1.0""?>\n<Clock xmlns:dt=""urn:schemas-microsoft-com:datatypes""><Description dt:dt=""string"">E-Prime Primary Realtime Clock</Description><StartTime><Timestamp dt:dt=""int"">0</Timestamp><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></StartTime><FrequencyChanges><FrequencyChange><Frequency dt:dt=""r8"">3312841</Frequency><Timestamp dt:dt=""r8"">2872826519384</Timestamp><Current dt:dt=""r8"">0</Current><DateUtc dt:dt=""string"">2015-04-09T15:44:41Z</DateUtc></FrequencyChange></FrequencyChanges></Clock>\n","PictureNamingScript2-2-1",59.945,"1.0.0.164",1,-505946708,"Professional","2.0.10.353","2.0.10.353","4/9/2015","4/9/2015 15:44","11:44:41","2.0.10.248",10,"c","hogar","m","o",4,1,4,NA,NA,NA,"Proc","Expirement","pecho",1,74550,0,848,75398,"m",1
