RECORDING_SESSION_LABEL,TRIAL_INDEX,CURRENT_FIX_ADJUSTED,CURRENT_FIX_BLINK_AROUND,CURRENT_FIX_BUTTON_0_PRESS,CURRENT_FIX_BUTTON_1_PRESS,CURRENT_FIX_BUTTON_2_PRESS,CURRENT_FIX_BUTTON_3_PRESS,CURRENT_FIX_BUTTON_4_PRESS,CURRENT_FIX_BUTTON_5_PRESS,CURRENT_FIX_BUTTON_6_PRESS,CURRENT_FIX_BUTTON_7_PRESS,CURRENT_FIX_BUTTON_8_PRESS,CURRENT_FIX_END,CURRENT_FIX_END_OTHER,CURRENT_FIX_INPUT_EVENTS,CURRENT_FIX_INTEREST_AREAS,CURRENT_FIX_INTEREST_AREA_DATA,CURRENT_FIX_INTEREST_AREA_DWELL_TIME,CURRENT_FIX_INTEREST_AREA_FIX_COUNT,CURRENT_FIX_INTEREST_AREA_GROUP,CURRENT_FIX_INTEREST_AREA_ID,CURRENT_FIX_INTEREST_AREA_LABEL,CURRENT_FIX_INTEREST_AREA_PIXEL_AREA,CURRENT_FIX_INTEREST_AREA_RUN_ID,CURRENT_FIX_INTEREST_AREA_X_OFFSET,CURRENT_FIX_INTEREST_AREA_Y_OFFSET,CURRENT_FIX_IS_RT_END,CURRENT_FIX_LABEL,CURRENT_FIX_MSG_COUNT,CURRENT_FIX_MSG_TEXT_1,CURRENT_FIX_MSG_TIME_1,CURRENT_FIX_NEAREST_INTEREST_AREA,CURRENT_FIX_NEAREST_INTEREST_AREA_DISTANCE,CURRENT_FIX_NEAREST_INTEREST_AREA_LABEL,CURRENT_FIX_PUPIL,CURRENT_FIX_REFIX_INTEREST_AREA,CURRENT_FIX_REFIX_PREV_INTEREST_AREA,CURRENT_FIX_RUN_DWELL_TIME,CURRENT_FIX_RUN_INDEX,CURRENT_FIX_RUN_SIZE,CURRENT_FIX_START,CURRENT_FIX_START_OTHER,CURRENT_FIX_TRIAL_SPAN,CURRENT_FIX_X,CURRENT_FIX_X_OTHER,CURRENT_FIX_X_RESOLUTION,CURRENT_FIX_Y,CURRENT_FIX_Y_OTHER,CURRENT_FIX_Y_RESOLUTION,DATA_FILE,EYE_USED,IP_END_EVENT_MATCHED,IP_END_TIME,IP_INDEX,IP_LABEL,IP_START_EVENT_MATCHED,IP_START_TIME,LAST_BUTTON_PRESSED,LAST_BUTTON_PRESSED_TIME,LAST_BUTTON_RELEASED,LAST_BUTTON_RELEASED_TIME,LAST_BUTTON_TIME,NEXT_FIX_ANGLE,NEXT_FIX_BLINK_AROUND,NEXT_FIX_DIRECTION,NEXT_FIX_DISTANCE,NEXT_FIX_DURATION,NEXT_FIX_END,NEXT_FIX_END_OTHER,NEXT_FIX_INPUT_EVENTS,NEXT_FIX_INTEREST_AREAS,NEXT_FIX_INTEREST_AREA_DATA,NEXT_FIX_INTEREST_AREA_DWELL_TIME,NEXT_FIX_INTEREST_AREA_FIX_COUNT,NEXT_FIX_INTEREST_AREA_GROUP,NEXT_FIX_INTEREST_AREA_ID,NEXT_FIX_INTEREST_AREA_INDEX,NEXT_FIX_INTEREST_AREA_LABEL,NEXT_FIX_INTEREST_AREA_PIXEL_AREA,NEXT_FIX_INTEREST_AREA_RUN_ID,NEXT_FIX_IS_RT_END,NEXT_FIX_LABEL,NEXT_FIX_MSG_COUNT,NEXT_FIX_MSG_TEXT_1,NEXT_FIX_MSG_TIME_1,NEXT_FIX_NEAREST_INTEREST_AREA,NEXT_FIX_NEAREST_INTEREST_AREA_DISTANCE,NEXT_FIX_NEAREST_INTEREST_AREA_LABEL,NEXT_FIX_PUPIL,NEXT_FIX_RUN_DWELL_TIME,NEXT_FIX_RUN_INDEX,NEXT_FIX_RUN_SIZE,NEXT_FIX_START,NEXT_FIX_START_OTHER,NEXT_FIX_TRIAL_SPAN,NEXT_FIX_X,NEXT_FIX_X_OTHER,NEXT_FIX_X_RESOLUTION,NEXT_FIX_Y,NEXT_FIX_Y_OTHER,NEXT_FIX_Y_RESOLUTION,NEXT_SAC_AMPLITUDE,NEXT_SAC_ANGLE,NEXT_SAC_AVG_VELOCITY,NEXT_SAC_BLINK_DURATION,NEXT_SAC_BLINK_END,NEXT_SAC_BLINK_START,NEXT_SAC_CONTAINS_BLINK,NEXT_SAC_DIRECTION,NEXT_SAC_DURATION,NEXT_SAC_END_INTEREST_AREAS,NEXT_SAC_END_INTEREST_AREA_ID,NEXT_SAC_END_INTEREST_AREA_INDEX,NEXT_SAC_END_INTEREST_AREA_LABEL,NEXT_SAC_END_TIME,NEXT_SAC_END_X,NEXT_SAC_END_X_RESOLUTION,NEXT_SAC_END_Y,NEXT_SAC_END_Y_RESOLUTION,NEXT_SAC_INDEX,NEXT_SAC_INPUT_EVENTS,NEXT_SAC_IS_RT_END,NEXT_SAC_LABEL,NEXT_SAC_MSG_COUNT,NEXT_SAC_MSG_TEXT_1,NEXT_SAC_MSG_TIME_1,NEXT_SAC_NEAREST_END_INTEREST_AREA,NEXT_SAC_NEAREST_END_INTEREST_AREA_LABEL,NEXT_SAC_NEAREST_START_INTEREST_AREA,NEXT_SAC_NEAREST_START_INTEREST_AREA_LABEL,NEXT_SAC_PEAK_VELOCITY,NEXT_SAC_START_INTEREST_AREAS,NEXT_SAC_START_INTEREST_AREA_ID,NEXT_SAC_START_INTEREST_AREA_INDEX,NEXT_SAC_START_INTEREST_AREA_LABEL,NEXT_SAC_START_TIME,NEXT_SAC_START_X,NEXT_SAC_START_X_RESOLUTION,NEXT_SAC_START_Y,NEXT_SAC_START_Y_RESOLUTION,PREVIOUS_FIX_ANGLE,PREVIOUS_FIX_BLINK_AROUND,PREVIOUS_FIX_DIRECTION,PREVIOUS_FIX_DISTANCE,PREVIOUS_FIX_DURATION,PREVIOUS_FIX_END,PREVIOUS_FIX_END_OTHER,PREVIOUS_FIX_INPUT_EVENTS,PREVIOUS_FIX_INTEREST_AREAS,PREVIOUS_FIX_INTEREST_AREA_DATA,PREVIOUS_FIX_INTEREST_AREA_DWELL_TIME,PREVIOUS_FIX_INTEREST_AREA_FIX_COUNT,PREVIOUS_FIX_INTEREST_AREA_GROUP,PREVIOUS_FIX_INTEREST_AREA_ID,PREVIOUS_FIX_INTEREST_AREA_INDEX,PREVIOUS_FIX_INTEREST_AREA_LABEL,PREVIOUS_FIX_INTEREST_AREA_PIXEL_AREA,PREVIOUS_FIX_INTEREST_AREA_RUN_ID,PREVIOUS_FIX_IS_RT_END,PREVIOUS_FIX_LABEL,PREVIOUS_FIX_MSG_COUNT,PREVIOUS_FIX_MSG_TEXT_1,PREVIOUS_FIX_MSG_TIME_1,PREVIOUS_FIX_NEAREST_INTEREST_AREA,PREVIOUS_FIX_NEAREST_INTEREST_AREA_DISTANCE,PREVIOUS_FIX_NEAREST_INTEREST_AREA_LABEL,PREVIOUS_FIX_PUPIL,PREVIOUS_FIX_RUN_DWELL_TIME,PREVIOUS_FIX_RUN_INDEX,PREVIOUS_FIX_RUN_SIZE,PREVIOUS_FIX_START,PREVIOUS_FIX_START_OTHER,PREVIOUS_FIX_TRIAL_SPAN,PREVIOUS_FIX_X,PREVIOUS_FIX_X_OTHER,PREVIOUS_FIX_X_RESOLUTION,PREVIOUS_FIX_Y,PREVIOUS_FIX_Y_OTHER,PREVIOUS_FIX_Y_RESOLUTION,PREVIOUS_SAC_AMPLITUDE,PREVIOUS_SAC_ANGLE,PREVIOUS_SAC_AVG_VELOCITY,PREVIOUS_SAC_BLINK_DURATION,PREVIOUS_SAC_BLINK_END,PREVIOUS_SAC_BLINK_START,PREVIOUS_SAC_CONTAINS_BLINK,PREVIOUS_SAC_DIRECTION,PREVIOUS_SAC_DURATION,PREVIOUS_SAC_END_INTEREST_AREAS,PREVIOUS_SAC_END_INTEREST_AREA_ID,PREVIOUS_SAC_END_INTEREST_AREA_INDEX,PREVIOUS_SAC_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_END_TIME,PREVIOUS_SAC_END_X,PREVIOUS_SAC_END_X_RESOLUTION,PREVIOUS_SAC_END_Y,PREVIOUS_SAC_END_Y_RESOLUTION,PREVIOUS_SAC_INDEX,PREVIOUS_SAC_INPUT_EVENTS,PREVIOUS_SAC_IS_RT_END,PREVIOUS_SAC_LABEL,PREVIOUS_SAC_MSG_COUNT,PREVIOUS_SAC_MSG_TEXT_1,PREVIOUS_SAC_MSG_TIME_1,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA,PREVIOUS_SAC_NEAREST_END_INTEREST_AREA_LABEL,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA,PREVIOUS_SAC_NEAREST_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_PEAK_VELOCITY,PREVIOUS_SAC_START_INTEREST_AREAS,PREVIOUS_SAC_START_INTEREST_AREA_ID,PREVIOUS_SAC_START_INTEREST_AREA_INDEX,PREVIOUS_SAC_START_INTEREST_AREA_LABEL,PREVIOUS_SAC_START_TIME,PREVIOUS_SAC_START_X,PREVIOUS_SAC_START_X_RESOLUTION,PREVIOUS_SAC_START_Y,PREVIOUS_SAC_START_Y_RESOLUTION,TRIAL_FIXATION_TOTAL,TRIAL_LABEL,TRIAL_START_TIME,VIDEO_FRAME_INDEX_END,VIDEO_FRAME_INDEX_START,VIDEO_NAME_END,VIDEO_NAME_START,aux_type,block_description,block_order,button_RT,button_pressed,cognate_status,critical_region,expected_button_press,expected_response,file,grammaticality,practice,question,response_accuracy,sentence,sentence_type,switch_type,GAZE_DURATION,REGRESSION_PATH_DURATION,TOTAL_DURATION
20,1,FALSE,NONE,.,.,8190,.,.,.,.,.,.,8223,.,"[(8190,63)]",[ ],.,.,.,.,.,.,.,.,.,.,FALSE,Fixation: 6804 ms,1,subject_response,8191,7,0.82,sopa,1209,.,.,.,.,.,6804,.,SPAN_NONE,570.7,.,61.9,584.7,.,61.1,20.edf,RIGHT,TRUE,276062,.,Full Trial Period,TRUE,267837,2,8190,1,5939,8190,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,2.76,NONE,RIGHT,0.58,503,6795,.,[],[ ],.,.,.,.,.,.,.,.,.,FALSE,Fixation: 6293 ms,0,.,.,7,0.8,sopa,1122,.,.,.,6293,.,SPAN_NONE,606.4,.,61.75,583,.,61.05,0.32,-179.12,39.82,.,.,.,FALSE,.,8,[ ],.,.,.,6803,576.6,61.9,584.2,61.1,20,[],FALSE,Saccade: 6796 ms,0,.,.,7,sopa,7,sopa,37.24,[ ],.,.,.,6796,596.3,61.8,583.9,61.1,21,Trial: 1,267837,.,.,.,.,H,Practice,1,2418,2,NA,NA,2,no,File 4 Grammaticality,A,1,Is the sentence grammatical?,correct,Sandra y Miriam había preparado la sopa de vegetales before their roommate arrived.,Practice,NA,0,0,0
20,2,FALSE,NONE,.,6072,.,.,.,.,.,.,.,6106,.,"[(6072,95)]",[ ],.,.,.,.,.,.,.,.,.,.,FALSE,Fixation: 5701 ms,1,subject_response,6073,8,0.8,los,1094,.,.,.,.,.,5701,.,SPAN_NONE,576.8,.,61.85,586.3,.,61.1,20.edf,RIGHT,TRUE,284662,.,Full Trial Period,TRUE,278554,1,6072,1,4824,6072,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,175.58,NONE,LEFT,2.98,232,5664,.,[],[ 5],"[STATIC, RECTANGLE, 296.0, 496.0, 416.0, 579.0]",412,2,.,5,5,escuela,9960,2,FALSE,Fixation: 5433 ms,0,.,.,5,0.8,escuela,1056,232,1,1,5433,.,SPAN_NONE,391.4,.,62.8,572.2,.,61.55,3.2,-1.34,88.84,.,.,.,FALSE,RIGHT,36,[ ],.,.,.,5700,588.6,61.8,579.3,61.1,19,[],FALSE,Saccade: 5665 ms,0,.,.,8,los,5,escuela,128.9,[ 5],5,5,escuela,5665,389.4,62.8,574.7,61.5,20,Trial: 2,278554,.,.,.,.,H,Practice,1,1367,1,NA,NA,1,yes,File 4 Grammaticality,G,1,Is the sentence grammatical?,correct,El director de la escuela notó que los estudiantes had broken the bookshelf in the library.,Practice,NA,0,0,0
20,3,FALSE,NONE,.,.,7537,.,.,.,.,.,.,7569,.,"[(7537,63)]",[ ],.,.,.,.,.,.,.,.,.,.,FALSE,Fixation: 7217 ms,1,subject_response,7538,6,0.9,los,1015,.,.,.,.,.,7217,.,SPAN_NONE,650.9,.,61.6,586.5,.,61,20.edf,RIGHT,TRUE,293612,.,Full Trial Period,TRUE,286041,2,7537,1,6782,7537,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-176.07,NONE,LEFT,2.27,302,7188,.,[],[ ],.,.,.,.,.,.,.,.,.,FALSE,Fixation: 6887 ms,0,.,.,4,1.17,cuestionando,946,.,.,.,6887,.,SPAN_NONE,510.8,.,62.2,596,.,61.3,2.57,7.21,91.71,.,.,.,FALSE,RIGHT,28,[ 7],7,7,sospechosos,7216,665.9,61.6,577.9,61,23,[],FALSE,Saccade: 7189 ms,0,.,.,7,sospechosos,4,cuestionando,150.19,[ ],.,.,.,7189,508.2,62.2,597.6,61.3,24,Trial: 3,286041,.,.,.,.,E,Practice,1,869,2,NA,NA,1,yes,File 4 Grammaticality,G,1,Is the sentence grammatical?,incorrect,El investigador estará cuestionando a los sospechosos about the events leading to the crime.,Practice,NA,0,0,0
20,4,FALSE,NONE,.,.,8725,.,.,.,.,.,.,8755,.,"[(8725,63)]",[ ],.,.,.,.,.,.,.,.,.,.,FALSE,Fixation: 8225 ms,1,subject_response,8726,7,1.33,mientras,1053,.,.,.,.,.,8225,.,SPAN_NONE,662.4,.,61.6,593.2,.,61,20.edf,RIGHT,TRUE,304996,.,Full Trial Period,TRUE,296239,2,8725,1,7110,8725,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,173.32,NONE,LEFT,0.61,757,8210,.,[],[ ],.,.,.,.,.,.,.,.,.,FALSE,Fixation: 7454 ms,0,.,.,6,1.19,documentos,1043,.,.,.,7454,.,SPAN_NONE,625.3,.,61.7,588.9,.,61,0.66,8.16,47.05,.,.,.,FALSE,RIGHT,14,[ ],.,.,.,8224,665.8,61.6,587,61,24,[],FALSE,Saccade: 8211 ms,0,.,.,7,mientras,6,documentos,50.63,[ ],.,.,.,8211,625.6,61.7,592.7,61,25,Trial: 4,296239,.,.,.,.,E,Practice,1,1755,2,NA,NA,2,no,File 4 Grammaticality,A,1,Is the sentence grammatical?,correct,El abogado estaba revisando el documentos mientras his assistant answered phone calls.,Practice,NA,209,2391,209
20,5,FALSE,NONE,.,5323,.,.,.,.,.,.,.,5354,.,"[(5324,95)]",[ 8],"[STATIC, RECTANGLE, 610.0, 496.0, 671.0, 579.0]",693,2,.,8,que,5063,2,-6.3,38.2,FALSE,Fixation: 5135 ms,1,subject_response,5325,8,0.63,que,956,8,1,220,1,1,5135,.,SPAN_NONE,634.2,.,61.65,575.7,.,61,20.edf,RIGHT,TRUE,311780,.,Full Trial Period,TRUE,306424,1,5323,1,4845,5323,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,171.65,NONE,LEFT,2.67,192,5103,.,[],[ 6],"[STATIC, RECTANGLE, 431.0, 496.0, 475.0, 579.0]",192,1,.,6,6,al,3652,1,FALSE,Fixation: 4912 ms,0,.,.,6,0.37,al,867,192,1,1,4912,.,SPAN_NONE,470.5,.,62.35,552,.,61.35,2.88,-4.69,92.89,.,.,.,FALSE,RIGHT,31,[ 8],8,8,que,5134,648.8,61.6,570.7,61,16,[],FALSE,Saccade: 5104 ms,0,.,.,8,que,6,al,147.77,[ 6],6,6,al,5104,471,62.3,556.3,61.3,17,Trial: 5,306424,.,.,.,.,E,Practice,1,638,1,NA,NA,1,yes,File 4 Grammaticality,G,1,Is the sentence grammatical?,correct,El doctor le está diciendo al paciente que he should stay in bed for another week.,Practice,NA,473,473,693
20,7,FALSE,NONE,.,4202,.,.,.,.,.,.,.,4237,.,"[(4202,95), (4203,127), (4203,95)]",[ ],.,.,.,.,.,.,.,.,.,.,FALSE,Fixation: 4044 ms,1,subject_response,4204,7,0.76,the,1006,.,.,.,.,.,4044,.,SPAN_NONE,615.8,.,61.7,579.6,.,61,20.edf,RIGHT,TRUE,324680,.,Full Trial Period,TRUE,320441,1,4202,1,3522,4202,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-179.42,NONE,LEFT,1.45,366,4021,.,[],[ ],.,.,.,.,.,.,.,.,.,FALSE,Fixation: 3656 ms,0,.,.,6,0.91,comprando,992,.,.,.,3656,.,SPAN_NONE,526.3,.,62.05,580.5,.,61.2,1.38,5.17,62.77,.,.,.,FALSE,RIGHT,22,[ 7],7,7,the,4043,612,61.8,577.1,61,14,[],FALSE,Saccade: 4022 ms,0,.,.,7,the,6,comprando,75.6,[ ],.,.,.,4022,526.8,62.1,584.7,61.2,15,Trial: 7,320441,.,.,.,.,E,Experimental,2,818,1,NA,NA,2,no,File 4 Grammaticality,A,2,Is the sentence grammatical?,incorrect,Lidia y sus amiga estaban comprando the books for the chemistry class.,Practice Filler,NA,0,0,0
20,8,FALSE,NONE,.,6819,.,.,.,.,.,.,.,6848,.,"[(6819,95)]",[ 7],"[STATIC, RECTANGLE, 565.0, 496.0, 626.0, 579.0]",324,1,.,7,dog,5063,1,26,40,FALSE,Fixation: 6525 ms,1,subject_response,6820,7,0.77,dog,843,0,1,324,1,1,6525,.,SPAN_NONE,621.5,.,61.7,577.5,.,61,20.edf,RIGHT,TRUE,335130,.,Full Trial Period,TRUE,328280,1,6819,1,6161,6819,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,173.69,NONE,LEFT,2.96,184,6491,.,[],[ 5],"[STATIC, RECTANGLE, 385.0, 496.0, 506.0, 579.0]",357,2,.,5,5,perdido,10043,2,FALSE,Fixation: 6308 ms,0,.,.,5,0.34,perdido,801,184,1,1,6308,.,SPAN_NONE,438.9,.,62.5,557.6,.,61.4,3.18,-2.62,96.28,.,.,.,FALSE,RIGHT,33,[ 8],8,8,at,6524,632.8,61.7,571.9,61,23,[],FALSE,Saccade: 6492 ms,0,.,.,8,at,5,perdido,155.45,[ 5],5,5,perdido,6492,435.7,62.5,563,61.4,24,Trial: 8,328280,.,.,.,.,H,Experimental,2,757,1,NA,NA,2,no,File 4 Grammaticality,A,2,Is the sentence grammatical?,incorrect,Rosa y Francisco habían perdido sus dog at the park on Tuesday.,Practice Filler,NA,0,0,0
20,9,FALSE,BEFORE,.,6721,.,.,.,.,.,.,.,6744,.,"[(6721,95)]",[ 5],"[STATIC, RECTANGLE, 355.0, 496.0, 520.0, 579.0]",1530,6,.,5,sunglasses,13695,2,11.8,24,FALSE,Fixation: 6525 ms,1,subject_response,6722,5,0.43,sunglasses,910,6,1,524,2,2,6525,.,SPAN_NONE,449.3,.,62.4,561.5,.,61.4,20.edf,RIGHT,TRUE,344046,.,Full Trial Period,TRUE,337300,1,6721,1,5904,6721,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,-13.71,AFTER,RIGHT,0.89,304,6367,.,[],[ 5],"[STATIC, RECTANGLE, 355.0, 496.0, 520.0, 579.0]",1530,6,.,5,5,sunglasses,13695,2,FALSE,Fixation: 6064 ms,0,.,.,5,1.2,sunglasses,852,524,1,2,6064,.,SPAN_NONE,503,.,62.2,574.4,.,61.3,0.85,153.86,5.44,40,6470,6431,TRUE,LEFT,157,[ 5],5,5,sunglasses,6524,451.4,62.4,553.5,61.4,23,[],FALSE,Saccade: 6368 ms,0,.,.,5,sunglasses,5,sunglasses,296.73,[ 5],5,5,sunglasses,6368,499.2,62.2,576.6,61.3,24,Trial: 9,337300,.,.,.,.,H,Experimental,2,878,1,NA,NA,1,yes,File 4 Grammaticality,G,2,Is the sentence grammatical?,correct,Ana había perdido sus sunglasses and her keys in the supermarket.,Practice Filler,NA,0,0,0
20,10,FALSE,NONE,.,7546,.,.,.,.,.,.,.,7574,.,"[(7546,95)]",[ 7],"[STATIC, RECTANGLE, 566.0, 496.0, 626.0, 579.0]",268,2,.,7,new,4980,2,17.3,31.7,FALSE,Fixation: 7495 ms,1,subject_response,7548,7,0.59,new,952,21,1,80,1,1,7495,.,SPAN_NONE,613.3,.,61.75,569.2,.,61,20.edf,RIGHT,TRUE,353363,.,Full Trial Period,TRUE,345787,1,7546,1,5997,7546,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,175.84,NONE,LEFT,1.92,306,7474,.,[],[ 6],"[STATIC, RECTANGLE, 491.0, 496.0, 566.0, 579.0]",530,2,.,6,6,some,6225,2,FALSE,Fixation: 7169 ms,0,.,.,6,0.66,some,961,306,1,1,7169,.,SPAN_NONE,494.8,.,62.15,560.7,.,61.25,1.83,-3.17,91.51,.,.,.,FALSE,RIGHT,20,[ 7],7,7,new,7494,607.1,61.8,568.5,61.1,24,[],FALSE,Saccade: 7475 ms,0,.,.,7,new,6,some,121.08,[ 6],6,6,some,7475,493.8,62.2,562.3,61.3,25,Trial: 10,345787,.,.,.,.,E,Experimental,2,1690,1,NA,NA,1,yes,File 4 Grammaticality,G,2,Is the sentence grammatical?,correct,Chris y Sara estaban comprando some new clothes for the children at the orphanage.,Practice Filler,NA,0,0,0
20,11,FALSE,NONE,.,7295,.,.,.,.,.,.,.,7331,.,"[(7295,95)]",[ ],.,.,.,.,.,.,.,.,.,.,FALSE,Fixation: 7252 ms,1,subject_response,7296,7,0.88,are,1051,.,.,.,.,.,7252,.,SPAN_NONE,631.3,.,61.75,586.2,.,61.05,20.edf,RIGHT,TRUE,362496,.,Full Trial Period,TRUE,355163,1,7295,1,6977,7295,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,176.43,NONE,LEFT,3.07,470,7225,.,"[(6821,95), (6977,127)]",[ 5],"[STATIC, RECTANGLE, 401.0, 496.0, 460.0, 579.0]",825,3,.,5,5,los,4897,3,FALSE,Fixation: 6756 ms,1,sentence_read,6822,5,0.63,los,977,470,1,1,6756,.,SPAN_NONE,441.1,.,62.45,574.5,.,61.4,2.53,0.63,97.41,.,.,.,FALSE,RIGHT,26,[ ],.,.,.,7251,599.1,61.8,581,61.1,22,[],FALSE,Saccade: 7226 ms,0,.,.,6,asistentes,5,los,135.16,[ ],.,.,.,7226,441.7,62.5,582.7,61.4,23,Trial: 11,355163,.,.,.,.,E,Experimental,0,465,1,Cog,7,1,yes,File 4 Grammaticality,G,4,Is the sentence grammatical?,correct,La secretaria piensa que los asistentes are dividing the files into three piles.,Experimental,At_Aux,0,0,0
