RECORDING_SESSION_LABEL,aux_type,response_accuracy,count,prop,Group
118cc,E,correct,14,87.5,late
118cc,E,incorrect,2,12.5,late
118cc,H,correct,15,93.75,late
118cc,H,incorrect,1,6.25,late
11cc,E,correct,13,81.25,late
11cc,E,incorrect,3,18.75,late
11cc,H,correct,14,87.5,late
11cc,H,incorrect,2,12.5,late
139cc,E,correct,14,87.5,late
139cc,E,incorrect,2,12.5,late
139cc,H,correct,15,93.75,late
139cc,H,incorrect,1,6.25,late
14cc,E,correct,10,62.5,late
14cc,E,incorrect,6,37.5,late
14cc,H,correct,13,81.25,late
14cc,H,incorrect,3,18.75,late
15cc,E,correct,14,87.5,late
15cc,E,incorrect,2,12.5,late
15cc,H,correct,15,93.75,late
15cc,H,incorrect,1,6.25,late
16cc,E,correct,16,100,late
16cc,E,incorrect,0,0,late
16cc,H,correct,15,93.75,late
16cc,H,incorrect,1,6.25,late
25cc,E,correct,11,68.75,late
25cc,E,incorrect,5,31.25,late
25cc,H,correct,13,81.25,late
25cc,H,incorrect,3,18.75,late
27cc,E,correct,16,100,late
27cc,E,incorrect,0,0,late
27cc,H,correct,15,93.75,late
27cc,H,incorrect,1,6.25,late
29cc,E,correct,15,93.75,late
29cc,E,incorrect,1,6.25,late
29cc,H,correct,14,87.5,late
29cc,H,incorrect,2,12.5,late
3cc,E,correct,15,93.75,late
3cc,E,incorrect,1,6.25,late
3cc,H,correct,14,87.5,late
3cc,H,incorrect,2,12.5,late
4cc,E,correct,16,100,late
4cc,E,incorrect,0,0,late
4cc,H,correct,16,100,late
4cc,H,incorrect,0,0,late
5cc,E,correct,13,81.25,late
5cc,E,incorrect,3,18.75,late
5cc,H,correct,16,100,late
5cc,H,incorrect,0,0,late
65cc,E,correct,15,93.75,late
65cc,E,incorrect,1,6.25,late
65cc,H,correct,14,87.5,late
65cc,H,incorrect,2,12.5,late
